date,price,bedrooms,bathrooms,sqft_living,floors,sqft_above,sqft_basement,street,city,statezip,price_per_sqft
2014-05-02,313000.0,3.0,1.5,1340,1.5,1340,0,18810 Densmore Ave N,Shoreline,WA 98133,233.5820895522388
2014-05-02,342000.0,3.0,2.0,1930,1.0,1930,0,26206-26214 143rd Ave SE,Kent,WA 98042,177.2020725388601
2014-05-02,420000.0,3.0,2.25,2000,1.0,1000,1000,857 170th Pl NE,Bellevue,WA 98008,210.0
2014-05-02,550000.0,4.0,2.5,1940,1.0,1140,800,9105 170th Ave NE,Redmond,WA 98052,283.50515463917526
2014-05-02,490000.0,2.0,1.0,880,1.0,880,0,522 NE 88th St,Seattle,WA 98115,556.8181818181819
2014-05-02,335000.0,2.0,2.0,1350,1.0,1350,0,2616 174th Ave NE,Redmond,WA 98052,248.14814814814815
2014-05-02,482000.0,4.0,2.5,2710,2.0,2710,0,23762 SE 253rd Pl,Maple Valley,WA 98038,177.85977859778598
2014-05-02,452500.0,3.0,2.5,2430,1.0,1570,860,46611-46625 SE 129th St,North Bend,WA 98045,186.21399176954733
2014-05-02,640000.0,4.0,2.0,1520,1.5,1520,0,6811 55th Ave NE,Seattle,WA 98115,421.05263157894734
2014-05-02,463000.0,3.0,1.75,1710,1.0,1710,0,Burke-Gilman Trail,Lake Forest Park,WA 98155,270.7602339181287
2014-05-02,588500.0,3.0,1.75,2330,1.0,1970,360,1833 220th Pl NE,Sammamish,WA 98074,252.57510729613733
2014-05-02,365000.0,3.0,1.0,1090,1.0,1090,0,2504 SW Portland Ct,Seattle,WA 98106,334.86238532110093
2014-05-02,242500.0,3.0,1.5,1200,1.0,1200,0,14034 SE 201st St,Kent,WA 98042,202.08333333333334
2014-05-02,419000.0,3.0,1.5,1570,1.0,1570,0,15424 SE 9th St,Bellevue,WA 98007,266.8789808917197
2014-05-02,367500.0,4.0,3.0,3110,2.0,3110,0,11224 SE 306th Pl,Auburn,WA 98092,118.16720257234726
2014-05-02,257950.0,3.0,1.75,1370,1.0,1370,0,1605 S 245th Pl,Des Moines,WA 98198,188.28467153284672
2014-05-02,275000.0,3.0,1.5,1180,1.0,1180,0,12425 415th Ave SE,North Bend,WA 98045,233.05084745762713
2014-05-02,750000.0,3.0,1.75,2240,2.0,1550,690,3225 NE 92nd St,Seattle,WA 98115,334.82142857142856
2014-05-02,435000.0,4.0,1.0,1450,1.0,1450,0,3922 154th Ave SE,Bellevue,WA 98006,300.0
2014-05-02,626000.0,3.0,2.25,1750,2.5,1470,280,3140 Franklin Ave E,Seattle,WA 98102,357.7142857142857
2014-05-02,612500.0,4.0,2.5,2730,2.0,2730,0,10212 NE 156th Pl,Bothell,WA 98011,224.35897435897436
2014-05-02,495000.0,4.0,1.75,1600,1.0,1130,470,2021 NE 100th St,Seattle,WA 98125,309.375
2014-05-02,285000.0,3.0,2.5,2090,1.0,1360,730,27736 23rd Avenue South,Federal Way,WA 98003,136.36363636363637
2014-05-02,615000.0,3.0,1.75,2360,1.0,1360,1000,8436-8438 41st Ave SW,Seattle,WA 98136,260.59322033898303
2014-05-02,698000.0,4.0,2.25,2200,1.5,1300,900,1036 4th St,Kirkland,WA 98033,317.27272727272725
2014-05-02,675000.0,5.0,2.5,2820,2.0,2820,0,23525 SE 32nd Way,Issaquah,WA 98029,239.36170212765958
2014-05-02,790000.0,3.0,2.5,2600,1.0,1700,900,3314 NW 75th St,Seattle,WA 98117,303.84615384615387
2014-05-02,382500.0,4.0,1.75,1560,1.0,1560,0,14104 119th Ave NE,Kirkland,WA 98034,245.19230769230768
2014-05-02,499950.0,4.0,2.5,2860,2.0,2190,670,20120 137th Ave NE,Woodinville,WA 98072,174.80769230769232
2014-05-02,650000.0,4.0,2.0,1820,1.5,1640,180,7201-7399 55th Ave NE,Seattle,WA 98115,357.14285714285717
2014-05-02,625000.0,4.0,2.5,2820,2.0,2820,0,17052 4th Ave NE,Shoreline,WA 98155,221.63120567375887
2014-05-02,400000.0,4.0,2.5,3630,1.5,2300,1330,5172-5198 Heather Ave SE,Auburn,WA 98092,110.19283746556474
2014-05-02,604000.0,3.0,2.5,3240,2.0,3240,0,30822 36th Ct SW,Federal Way,WA 98023,186.41975308641975
2014-05-02,440000.0,2.0,1.0,800,1.0,800,0,4801-4899 6th Ave NW,Seattle,WA 98107,550.0
2014-05-02,287200.0,3.0,3.0,1850,1.0,1090,760,23017 SE 281st Ct,Maple Valley,WA 98038,155.24324324324326
2014-05-02,403000.0,3.0,2.0,1960,1.0,1650,310,17825 4th Ave SW,Normandy Park,WA 98166,205.6122448979592
2014-05-02,750000.0,3.0,2.5,2390,1.0,1440,950,3628 59th Ave SW,Seattle,WA 98116,313.8075313807531
2014-05-02,335000.0,3.0,2.25,1580,1.0,1580,0,4460 332nd Ave SE,Fall City,WA 98024,212.0253164556962
2014-05-02,260000.0,4.0,2.0,1480,1.0,1480,0,2019 Aberdeen Pl SE,Renton,WA 98055,175.67567567567568
2014-05-02,308500.0,2.0,1.0,850,1.0,850,0,121 NE 147th St,Shoreline,WA 98155,362.94117647058823
2014-05-02,439950.0,3.0,2.5,1770,2.0,1770,0,4458 51st Ave SW,Seattle,WA 98116,248.5593220338983
2014-05-02,235000.0,2.0,1.0,1210,1.0,1210,0,7542 21st Ave SW,Seattle,WA 98106,194.21487603305786
2014-05-02,315000.0,3.0,1.0,1160,1.0,1160,0,15804 198th Pl NE,Woodinville,WA 98077,271.55172413793105
2014-05-02,437500.0,3.0,2.25,1970,2.0,1970,0,26069 SE 154th St,Issaquah,WA 98027,222.08121827411168
2014-05-02,407500.0,3.0,2.5,1930,2.0,1930,0,4314 NE 6th Pl,Renton,WA 98059,211.13989637305698
2014-05-02,445700.0,3.0,2.5,1270,3.0,1270,0,2640 NW 56th St,Seattle,WA 98107,350.9448818897638
2014-05-02,838000.0,4.0,2.5,3310,2.0,3310,0,15712 NE 136th Pl,Redmond,WA 98052,253.17220543806647
2014-05-02,630000.0,4.0,2.75,2710,2.0,2710,0,26429 SE 154th Pl,Issaquah,WA 98027,232.47232472324723
2014-05-02,550000.0,3.0,1.75,2910,1.5,2910,0,3923 229th Pl SE,Sammamish,WA 98075,189.00343642611685
2014-05-02,805000.0,3.0,2.0,2710,1.5,1880,830,6222 30th Ave NE,Seattle,WA 98115,297.0479704797048
2014-05-02,284000.0,3.0,1.75,1800,1.0,1800,0,32418 NE 50th St,Carnation,WA 98014,157.77777777777777
2014-05-02,470000.0,5.0,2.5,2210,1.0,1460,750,19334 89th Ave NE,Bothell,WA 98011,212.66968325791856
2014-05-02,430000.0,4.0,1.5,1920,1.0,1070,850,4071 156th Ave SE,Bellevue,WA 98006,223.95833333333334
2014-05-02,491500.0,4.0,1.75,2190,1.0,2190,0,36850 204th Ave SE,Auburn,WA 98092,224.42922374429224
2014-05-02,785000.0,5.0,3.25,3660,2.0,3660,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,214.4808743169399
2014-05-02,385000.0,3.0,3.25,1320,2.0,1040,280,3400 21st Ave W,Seattle,WA 98199,291.6666666666667
2014-05-02,295000.0,2.0,2.5,1630,2.0,1280,350,5944-6082 Delridge Way SW,Seattle,WA 98106,180.98159509202455
2014-05-02,555000.0,4.0,2.5,3310,2.0,3310,0,35229 SE Terrace St,Snoqualmie,WA 98065,167.67371601208458
2014-05-02,459990.0,3.0,2.5,2680,2.0,2680,0,13800 453rd Ave SE,North Bend,WA 98045,171.63805970149255
2014-05-02,625000.0,4.0,3.25,2730,1.0,1560,1170,9927 174th Ave SE,Renton,WA 98059,228.93772893772893
2014-05-02,300000.0,3.0,2.5,2540,2.0,2540,0,29734 215th Terrace SE,Kent,WA 98042,118.11023622047244
2014-05-03,625000.0,4.0,2.75,2920,2.0,2920,0,5608 NE 5th Cir,Renton,WA 98059,214.04109589041096
2014-05-03,553000.0,2.0,1.0,900,1.0,900,0,8053 29th Ave NW,Seattle,WA 98117,614.4444444444445
2014-05-03,379880.0,3.0,2.5,1650,1.0,1130,520,13256 242nd Pl SE,Issaquah,WA 98027,230.23030303030302
2014-05-03,310000.0,3.0,1.0,1010,1.0,1010,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,306.9306930693069
2014-05-04,775000.0,2.0,2.5,2680,1.0,2680,0,13134 234th Ct NE,Redmond,WA 98053,289.17910447761193
2014-05-04,365000.0,3.0,2.5,2200,1.0,1570,630,13420 SE 182nd St,Renton,WA 98058,165.9090909090909
2014-05-04,331950.0,4.0,2.5,2530,2.0,2010,520,925 48th Ct,Auburn,WA 98092,131.20553359683794
2014-05-04,783500.0,3.0,2.5,2850,2.0,1990,860,151 Euclid Ave,Seattle,WA 98122,274.9122807017544
2014-05-04,628000.0,4.0,2.0,2280,1.0,1140,1140,205-206 Euclid Ave,Seattle,WA 98122,275.43859649122805
2014-05-05,560000.0,3.0,2.5,1900,2.0,1900,0,22314 NE 11th Pl,Sammamish,WA 98074,294.7368421052632
2014-05-05,900000.0,3.0,1.0,1330,1.0,1330,0,13615 NE 100th St,Kirkland,WA 98033,676.6917293233083
2014-05-05,531000.0,2.0,3.0,1270,2.0,1110,160,1411 N 48th St,Seattle,WA 98103,418.1102362204724
2014-05-05,831000.0,4.0,3.0,2170,2.0,1610,560,120 31st Ave E,Seattle,WA 98112,382.94930875576034
2014-05-05,780000.0,4.0,2.5,2730,2.0,2730,0,23140 NE 14th Ct,Sammamish,WA 98074,285.7142857142857
2014-05-05,755000.0,4.0,2.5,2120,1.0,1620,500,12645 SE 27th St,Bellevue,WA 98005,356.1320754716981
2014-05-05,705380.0,3.0,2.5,2490,2.0,2490,0,3187 NE Larkspur Ln,Issaquah,WA 98029,283.285140562249
2014-05-05,627000.0,4.0,2.25,1990,1.0,1210,780,18915 SE 42nd Pl,Issaquah,WA 98027,315.0753768844221
2014-05-05,865000.0,4.0,3.0,3690,2.0,3690,0,1765 267th Ct SE,Sammamish,WA 98075,234.41734417344173
2014-05-05,580000.0,2.0,1.0,2540,1.0,1320,1220,8624 Island Dr S,Seattle,WA 98118,228.3464566929134
2014-05-05,410000.0,3.0,2.25,1800,1.0,1360,440,24502 SE Mirrormont Dr,Issaquah,WA 98027,227.77777777777777
2014-05-05,485000.0,4.0,3.0,2340,1.0,1340,1000,14319 85th Pl NE,Kirkland,WA 98034,207.26495726495727
2014-05-05,400000.0,2.0,1.75,2110,1.0,2110,0,2120 NE 168th St,Shoreline,WA 98155,189.5734597156398
2014-05-05,549000.0,2.0,1.0,1140,1.0,1140,0,209 30th Ave E,Seattle,WA 98112,481.57894736842104
2014-05-05,620000.0,3.0,1.75,1480,2.5,1480,0,10512 128th Ave NE,Kirkland,WA 98033,418.9189189189189
2014-05-05,405000.0,2.0,3.0,1410,2.0,1140,270,9126 45th Ave SW,Seattle,WA 98136,287.2340425531915
2014-05-05,232000.0,2.0,1.0,1200,1.0,1200,0,20220 8th Ave S,Des Moines,WA 98198,193.33333333333334
2014-05-05,800866.0,5.0,2.5,3180,2.0,3180,0,11821 NE 48th Pl,Kirkland,WA 98033,251.8446540880503
2014-05-05,650000.0,3.0,1.5,2160,1.0,1400,760,13026 10th Ave NW,Seattle,WA 98177,300.9259259259259
2014-05-05,823000.0,6.0,1.75,2920,2.5,2780,140,125 29th Ave,Seattle,WA 98122,281.8493150684931
2014-05-05,770000.0,3.0,2.0,2350,1.5,1810,540,2171 Boyer Ave E,Seattle,WA 98112,327.6595744680851
2014-05-05,524000.0,3.0,1.75,1560,1.0,780,780,3434 33rd Ave W,Seattle,WA 98199,335.8974358974359
2014-05-05,541125.0,5.0,2.75,2740,1.0,1370,1370,5211 116th Pl SE,Bellevue,WA 98006,197.49087591240877
2014-05-05,670000.0,3.0,2.5,1680,3.0,1680,0,3503 NE 44th St,Seattle,WA 98105,398.8095238095238
2014-05-05,384900.0,5.0,2.5,3090,1.0,1750,1340,114 SW 292nd St,Federal Way,WA 98023,124.5631067961165
2014-05-05,406100.0,3.0,2.25,1410,3.0,1410,0,8536 Interlake Ave N,Seattle,WA 98103,288.01418439716315
2014-05-05,736500.0,4.0,2.5,3180,2.0,3180,0,17132 SE 100th St,Renton,WA 98059,231.60377358490567
2014-05-05,570000.0,3.0,2.25,2010,1.0,1330,680,10204 168th Pl NE,Redmond,WA 98052,283.5820895522388
2014-05-05,787000.0,3.0,1.75,1330,1.0,1330,0,218 109th Ave SE,Bellevue,WA 98004,591.7293233082706
2014-05-05,328000.0,4.0,2.5,2370,2.0,2370,0,12621 SE 300th Way,Auburn,WA 98092,138.39662447257385
2014-05-05,435000.0,5.0,2.0,1840,1.0,1540,300,14013 Ashworth Ave N,Seattle,WA 98133,236.41304347826087
2014-05-05,499000.0,4.0,2.5,2910,2.0,2910,0,34010 SE Sorenson St,Snoqualmie,WA 98065,171.47766323024055
2014-05-05,501000.0,4.0,1.0,2070,1.0,1160,910,2506 166th Ave NE,Bellevue,WA 98008,242.02898550724638
2014-05-05,400000.0,2.0,1.0,840,1.0,840,0,4515 SW Trenton St,Seattle,WA 98136,476.1904761904762
2014-05-05,220000.0,4.0,1.5,1240,1.0,1240,0,4924 SW 314th Pl,Federal Way,WA 98023,177.41935483870967
2014-05-05,657100.0,4.0,1.0,1390,1.0,1050,340,4312 Woodlawn Ave N,Seattle,WA 98103,472.7338129496403
2014-05-05,309950.0,4.0,2.75,2310,2.0,2310,0,22912 SE 268th Pl,Maple Valley,WA 98038,134.17748917748918
2014-05-05,300000.0,3.0,2.0,1050,1.0,1050,0,27106 NE Miller St,Duvall,WA 98019,285.7142857142857
2014-05-05,525888.0,5.0,1.75,2550,1.0,1810,740,13129 195th Pl SE,Issaquah,WA 98027,206.2305882352941
2014-05-05,740000.0,4.0,1.75,2010,1.5,2010,0,1014 W Garfield St,Seattle,WA 98119,368.1592039800995
2014-05-05,340000.0,5.0,1.0,1120,1.5,1120,0,14150 75th Ave NE,Kirkland,WA 98034,303.57142857142856
2014-05-05,398750.0,3.0,2.5,2230,2.0,2230,0,2601 21st Ave S,Seattle,WA 98144,178.81165919282512
2014-05-05,206000.0,2.0,1.0,810,1.0,810,0,12807 7th Ave S,Burien,WA 98168,254.320987654321
2014-05-05,1030000.0,5.0,2.75,3190,1.0,1690,1500,4529 135th Ave SE,Bellevue,WA 98006,322.88401253918494
2014-05-05,600000.0,3.0,1.75,1670,1.0,1670,0,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,359.2814371257485
2014-05-05,379950.0,4.0,1.75,1970,1.0,1140,830,1701 N 204th Pl,Shoreline,WA 98133,192.86802030456852
2014-05-05,287000.0,3.0,1.0,1450,1.0,1450,0,8681 Beacon Ave S,Seattle,WA 98118,197.93103448275863
2014-05-05,309950.0,3.0,2.5,1880,2.0,1880,0,17717 113th Pl SE,Renton,WA 98055,164.86702127659575
2014-05-05,600000.0,3.0,1.75,1880,1.0,1040,840,8040 39th Ave NE,Seattle,WA 98115,319.1489361702128
2014-05-05,418000.0,3.0,2.0,1410,1.5,1410,0,901 N 97th St,Seattle,WA 98103,296.45390070921985
2014-05-05,449250.0,4.0,2.0,1480,1.5,1480,0,519 N 104th St,Seattle,WA 98133,303.5472972972973
2014-05-05,329950.0,2.0,1.0,1140,1.5,1140,0,14017 Roslyn Pl N,Seattle,WA 98133,289.4298245614035
2014-05-05,245000.0,3.0,1.75,1920,1.0,1000,920,30001-30021 55th Pl S,Auburn,WA 98001,127.60416666666667
2014-05-05,549000.0,4.0,2.5,2910,2.0,2910,0,16026 SE 137th Terrace,Renton,WA 98059,188.659793814433
2014-05-05,800000.0,3.0,2.5,3240,2.0,3240,0,22721-22727 SE 27th St,Sammamish,WA 98075,246.91358024691357
2014-05-05,249950.0,3.0,2.0,1550,1.0,1550,0,18027 SE 128th St,Renton,WA 98059,161.25806451612902
2014-05-05,210000.0,5.0,2.0,2050,1.0,1430,620,20927-20999 2nd Ave S,Des Moines,WA 98198,102.4390243902439
2014-05-05,585000.0,2.0,1.0,1770,1.5,1520,250,353 NW 88th St,Seattle,WA 98117,330.50847457627117
2014-05-05,615000.0,4.0,1.75,2300,1.0,1960,340,18427 NE 26th Way,Redmond,WA 98052,267.39130434782606
2014-05-05,618500.0,3.0,2.0,1800,1.0,1080,720,2803 NE 62nd St,Seattle,WA 98115,343.6111111111111
2014-05-05,487585.0,4.0,1.75,2010,1.0,1470,540,13313 127th Pl NE,Kirkland,WA 98034,242.57960199004975
2014-05-05,509900.0,3.0,2.5,1790,2.0,1790,0,4532 185th Ave SE,Issaquah,WA 98027,284.86033519553075
2014-05-05,631625.0,4.0,2.5,2440,2.0,2440,0,9288-9358 Holman Rd NW,Seattle,WA 98117,258.86270491803276
2014-05-05,555000.0,3.0,2.5,1940,2.0,1940,0,4509 185th Ave SE,Issaquah,WA 98027,286.08247422680415
2014-05-05,340000.0,2.0,1.5,1160,2.0,1160,0,1318 29th Ave S,Seattle,WA 98144,293.1034482758621
2014-05-05,830000.0,4.0,2.5,3400,2.0,3400,0,12001 173rd Pl NE,Redmond,WA 98052,244.11764705882354
2014-05-05,890000.0,4.0,4.25,4420,2.0,3410,1010,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,201.35746606334843
2014-05-05,366750.0,3.0,3.0,1571,3.0,1571,0,14359 19th Ave NE,Seattle,WA 98125,233.45003182686187
2014-05-05,415000.0,3.0,2.25,1620,2.5,1540,80,935 4th Ave NE,Issaquah,WA 98029,256.17283950617286
2014-05-05,416286.0,3.0,2.5,1408,3.0,1408,0,7809 12th Ave NE,Seattle,WA 98115,295.65767045454544
